No_of_crime,Location,Offences,Year
2174,Counties/Manukau District,"Offences against justice procedures, government security and government operations",2000
252,Counties/Manukau District,Miscellaneous offences,2000
6,Waikato District,Homicide and related offences,2000
1634,Waikato District,Acts intended to cause injury,2000
100,Waikato District,Sexual assault and related offences,2000
18,Waikato District,Dangerous or negligent acts endangering persons,2000
517,Waikato District,"Abduction, harassment and other related offences against a person",2000
100,Waikato District,"Robbery, extortion and related offences",2000
1528,Waikato District,"Unlawful entry with intent/burglary, break and enter",2000
3015,Waikato District,Theft and related offences,2000
878,Waikato District,"Fraud, deception and related offences",2000
1995,Waikato District,Illicit drug offences,2000
389,Waikato District,Prohibited and regulated weapons and explosives offences,2000
1332,Waikato District,Property damage and environmental pollution,2000
2247,Waikato District,Public order offences,2000
1067,Waikato District,"Offences against justice procedures, government security and government operations",2000
476,Waikato District,Miscellaneous offences,2000
13,Bay Of Plenty District,Homicide and related offences,2000
1980,Bay Of Plenty District,Acts intended to cause injury,2000
91,Bay Of Plenty District,Sexual assault and related offences,2000
360,Bay Of Plenty District,"Abduction, harassment and other related offences against a person",2000
96,Bay Of Plenty District,"Robbery, extortion and related offences",2000
1487,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",2000
1042,Bay Of Plenty District,"Fraud, deception and related offences",2000
2626,Bay Of Plenty District,Illicit drug offences,2000
458,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,2000
1380,Bay Of Plenty District,Property damage and environmental pollution,2000
2239,Bay Of Plenty District,Public order offences,2000
1734,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",2000
254,Bay Of Plenty District,Miscellaneous offences,2000
1069,Hawkes Bay Area,Acts intended to cause injury,2000
49,Hawkes Bay Area,Sexual assault and related offences,2000
23,Hawkes Bay Area,Dangerous or negligent acts endangering persons,2000
241,Hawkes Bay Area,"Abduction, harassment and other related offences against a person",2000
50,Hawkes Bay Area,"Robbery, extortion and related offences",2000
488,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",2000
2123,Hawkes Bay Area,Theft and related offences,2000
367,Hawkes Bay Area,"Fraud, deception and related offences",2000
775,Hawkes Bay Area,Illicit drug offences,2000
161,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,2000
712,Hawkes Bay Area,Property damage and environmental pollution,2000
1302,Hawkes Bay Area,Public order offences,2000
881,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",2000
92,Hawkes Bay Area,Miscellaneous offences,2000
3,Tairawhiti Area,Homicide and related offences,2000
411,Tairawhiti Area,Acts intended to cause injury,2000
24,Tairawhiti Area,Sexual assault and related offences,2000
1,Tairawhiti Area,Dangerous or negligent acts endangering persons,2000
86,Tairawhiti Area,"Abduction, harassment and other related offences against a person",2000
17,Tairawhiti Area,"Robbery, extortion and related offences",2000
337,Tairawhiti Area,"Unlawful entry with intent/burglary, break and enter",2000
580,Tairawhiti Area,Theft and related offences,2000
150,Tairawhiti Area,"Fraud, deception and related offences",2000
506,Tairawhiti Area,Illicit drug offences,2000
261,Tairawhiti Area,Property damage and environmental pollution,2000
503,Tairawhiti Area,Public order offences,2000
315,Tairawhiti Area,"Offences against justice procedures, government security and government operations",2000
3,Manawatu Area,Homicide and related offences,2000
988,Manawatu Area,Acts intended to cause injury,2000
63,Manawatu Area,Sexual assault and related offences,2000
25,Manawatu Area,Dangerous or negligent acts endangering persons,2000
314,Manawatu Area,"Abduction, harassment and other related offences against a person",2000
37,Manawatu Area,"Robbery, extortion and related offences",2000
667,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",2000
1995,Manawatu Area,Theft and related offences,2000
546,Manawatu Area,"Fraud, deception and related offences",2000
1010,Manawatu Area,Illicit drug offences,2000
230,Manawatu Area,Prohibited and regulated weapons and explosives offences,2000
856,Manawatu Area,Property damage and environmental pollution,2000
1112,Manawatu Area,Public order offences,2000
689,Manawatu Area,"Offences against justice procedures, government security and government operations",2000
23,Manawatu Area,Miscellaneous offences,2000
3,Taranaki Area,Homicide and related offences,2000
762,Taranaki Area,Acts intended to cause injury,2000
50,Taranaki Area,Sexual assault and related offences,2000
17,Taranaki Area,Dangerous or negligent acts endangering persons,2000
195,Taranaki Area,"Abduction, harassment and other related offences against a person",2000
19,Taranaki Area,"Robbery, extortion and related offences",2000
420,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",2000
994,Taranaki Area,Theft and related offences,2000
326,Taranaki Area,"Fraud, deception and related offences",2000
667,Taranaki Area,Illicit drug offences,2000
113,Taranaki Area,Prohibited and regulated weapons and explosives offences,2000
530,Taranaki Area,Property damage and environmental pollution,2000
925,Taranaki Area,Public order offences,2000
421,Taranaki Area,"Offences against justice procedures, government security and government operations",2000
39,Taranaki Area,Miscellaneous offences,2000
8,Whanganui Area,Homicide and related offences,2000
568,Whanganui Area,Acts intended to cause injury,2000
11,Whanganui Area,Dangerous or negligent acts endangering persons,2000
180,Whanganui Area,"Abduction, harassment and other related offences against a person",2000
19,Whanganui Area,"Robbery, extortion and related offences",2000
981,Whanganui Area,Theft and related offences,2000
241,Whanganui Area,"Fraud, deception and related offences",2000
745,Whanganui Area,Illicit drug offences,2000
160,Whanganui Area,Prohibited and regulated weapons and explosives offences,2000
562,Whanganui Area,Property damage and environmental pollution,2000
647,Whanganui Area,Public order offences,2000
610,Whanganui Area,"Offences against justice procedures, government security and government operations",2000
14,Whanganui Area,Miscellaneous offences,2000
4,Wellington District,Homicide and related offences,2000
2994,Wellington District,Acts intended to cause injury,2000
136,Wellington District,Sexual assault and related offences,2000
61,Wellington District,Dangerous or negligent acts endangering persons,2000
801,Wellington District,"Abduction, harassment and other related offences against a person",2000
97,Wellington District,"Robbery, extortion and related offences",2000
1397,Wellington District,"Unlawful entry with intent/burglary, break and enter",2000
1093,Wellington District,"Fraud, deception and related offences",2000
2046,Wellington District,Illicit drug offences,2000
454,Wellington District,Prohibited and regulated weapons and explosives offences,2000
2139,Wellington District,Property damage and environmental pollution,2000
3127,Wellington District,Public order offences,2000
2293,Wellington District,"Offences against justice procedures, government security and government operations",2000
118,Wellington District,Miscellaneous offences,2000
2,Tasman District,Homicide and related offences,2000
1023,Tasman District,Acts intended to cause injury,2000
52,Tasman District,Sexual assault and related offences,2000
23,Tasman District,Dangerous or negligent acts endangering persons,2000
326,Tasman District,"Abduction, harassment and other related offences against a person",2000
28,Tasman District,"Robbery, extortion and related offences",2000
569,Tasman District,"Unlawful entry with intent/burglary, break and enter",2000
1596,Tasman District,Theft and related offences,2000
479,Tasman District,"Fraud, deception and related offences",2000
1308,Tasman District,Illicit drug offences,2000
914,Tasman District,Property damage and environmental pollution,2000
1317,Tasman District,Public order offences,2000
606,Tasman District,"Offences against justice procedures, government security and government operations",2000
