No_of_crime,Location,Offences,Year
64,Nelson Bays Area,"Abduction, harassment and other related offences against a person",1995
11,Nelson Bays Area,"Robbery, extortion and related offences",1995
186,Nelson Bays Area,"Unlawful entry with intent/burglary, break and enter",1995
899,Nelson Bays Area,Theft and related offences,1995
447,Nelson Bays Area,"Fraud, deception and related offences",1995
361,Nelson Bays Area,Illicit drug offences,1995
92,Nelson Bays Area,Prohibited and regulated weapons and explosives offences,1995
278,Nelson Bays Area,Property damage and environmental pollution,1995
484,Nelson Bays Area,Public order offences,1995
115,Nelson Bays Area,"Offences against justice procedures, government security and government operations",1995
0,West Coast Area,Homicide and related offences,1995
202,West Coast Area,Acts intended to cause injury,1995
18,West Coast Area,Sexual assault and related offences,1995
8,West Coast Area,Dangerous or negligent acts endangering persons,1995
118,West Coast Area,"Abduction, harassment and other related offences against a person",1995
0,West Coast Area,"Robbery, extortion and related offences",1995
151,West Coast Area,"Unlawful entry with intent/burglary, break and enter",1995
350,West Coast Area,Theft and related offences,1995
111,West Coast Area,"Fraud, deception and related offences",1995
229,West Coast Area,Illicit drug offences,1995
65,West Coast Area,Prohibited and regulated weapons and explosives offences,1995
196,West Coast Area,Property damage and environmental pollution,1995
307,West Coast Area,Public order offences,1995
51,West Coast Area,"Offences against justice procedures, government security and government operations",1995
15,West Coast Area,Miscellaneous offences,1995
9,Canterbury District,Homicide and related offences,1995
2569,Canterbury District,Acts intended to cause injury,1995
178,Canterbury District,Sexual assault and related offences,1995
118,Canterbury District,Dangerous or negligent acts endangering persons,1995
756,Canterbury District,"Abduction, harassment and other related offences against a person",1995
132,Canterbury District,"Robbery, extortion and related offences",1995
1156,Canterbury District,"Unlawful entry with intent/burglary, break and enter",1995
1843,Canterbury District,Illicit drug offences,1995
509,Canterbury District,Prohibited and regulated weapons and explosives offences,1995
1999,Canterbury District,Property damage and environmental pollution,1995
2837,Canterbury District,Public order offences,1995
1032,Canterbury District,"Offences against justice procedures, government security and government operations",1995
97,Canterbury District,Miscellaneous offences,1995
4,Otago Coastal Area,Homicide and related offences,1995
